Charge Report;;;;;;;;;;;;;;;;;;18/06/2023 13:16:09;;;;;
;;;;;;;;;;;;;;;;;

For each Charge Item this report will provide a breakdown of what Invoices contain these items within the selected date range either grouped by site or byindividual client;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Start Date :;;;;01/01/2016;;;

End Date :;;;;31/05/2023;;;

Site : ;;;;'S','BA','RA','H','TA','H';;;

Item Ref :;;;;ALL;;;

Client Type : ;;;;ALL;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Site :- Benbecula Airport - BA;;;;;;;;;;

Item Ref :- ADDRV;;;;;;;;;;;;;;;;;;;;

Invoice No;Booking No;;Type;;;;Invoice Date;;Inv Net Total;;;Inv VAT Total;;;Inv Gross Total;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

110016;#231331;;Sales Invoice;;;;26/01/2018;;£32.00;;;£6.40;;;£38.40;

110075;#239747;;Sales Invoice;;;;10/03/2018;;£8.00;;;£1.60;;;£9.60;

130003;#241410;;Sundry Credit Note;;;;27/03/2018;;-£32.00;;;-£6.40;;;-£38.40;

110097;#230882;;Sales Invoice;;;;27/03/2018;;£32.00;;;£6.40;;;£38.40;

110137;#244872;;Sales Invoice;;;;27/04/2018;;£16.00;;;£3.20;;;£19.20;

110152;#243647;;Sales Invoice;;;;02/05/2018;;£16.00;;;£3.20;;;£19.20;

110147;#A2147117;;Sales Invoice;;;;04/05/2018;;£40.00;;;£8.00;;;£48.00;

110178;#A2130466;;Sales Invoice;;;;16/05/2018;;£32.00;;;£6.40;;;£38.40;

110189;#255691;;Sales Invoice;;;;20/05/2018;;£16.00;;;£3.20;;;£19.20;

110195;#A2320180;;Sales Invoice;;;;22/05/2018;;£8.00;;;£1.60;;;£9.60;

110194;#A2471311;;Sales Invoice;;;;25/05/2018;;£40.00;;;£8.00;;;£48.00;

110216;#A2332109;;Sales Invoice;;;;02/06/2018;;£56.00;;;£11.20;;;£67.20;

110245;#A2189648;;Sales Invoice;;;;13/06/2018;;£16.00;;;£3.20;;;£19.20;

110262;#254666;;Sales Invoice;;;;20/06/2018;;£40.00;;;£8.00;;;£48.00;

110219;#258301;;Sales Invoice;;;;22/06/2018;;£160.00;;;£32.00;;;£192.00;

110221;#258135;;Sales Invoice;;;;22/06/2018;;£160.00;;;£32.00;;;£192.00;

110278;#A2583104;;Sales Invoice;;;;24/06/2018;;£16.00;;;£3.20;;;£19.20;

110276;#252870;;Sales Invoice;;;;24/06/2018;;£24.00;;;£4.80;;;£28.80;

110273;#A2342777;;Sales Invoice;;;;25/06/2018;;£32.00;;;£6.40;;;£38.40;

110263;#265388;;Sales Invoice;;;;27/06/2018;;£144.00;;;£28.80;;;£172.80;

110220;#A2486800;;Sales Invoice;;;;29/06/2018;;£240.00;;;£48.00;;;£288.00;

110295;#267768;;Sales Invoice;;;;05/07/2018;;£24.00;;;£4.80;;;£28.80;

110313;#270567;;Sales Invoice;;;;11/07/2018;;£24.00;;;£4.80;;;£28.80;

