Site,Code,Invoice No,Booking No,Type,Invoice Date,Inv Net Total,Inv VAT Total,Inv Gross Total
BA,ADDRV,28431,#411748,Sales Invoice,10/02/2020,32.00,6.40,38.40
BA,ADDRV,28432,#411753,Sales Invoice,10/02/2020,32.00,6.40,38.40
BA,ADDRV,28433,#411760,Sales Invoice,10/02/2020,32.00,6.40,38.40
BA,ADDRV,80622,#4388211,Sales Invoice,19/01/2022,10.00,2.00,12.00
BA,ADDRV,91142,#256495,Sales Invoice,26/08/2018,32.00,6.40,38.40
BA,ADDRV,110016,#231331,Sales Invoice,26/01/2018,32.00,6.40,38.40
BA,ADDRV,110075,#239747,Sales Invoice,03/10/2018,8.00,1.60,9.60
BA,ADDRV,110097,#230882,Sales Invoice,27/03/2018,32.00,6.40,38.40
BA,ADDRV,110137,#244872,Sales Invoice,27/04/2018,16.00,3.20,19.20
BA,ADDRV,110147,#A2147117,Sales Invoice,05/04/2018,40.00,8.00,48.00
BA,ADDRV,110152,#243647,Sales Invoice,05/02/2018,16.00,3.20,19.20
BA,ADDRV,110178,#A2130466,Sales Invoice,16/05/2018,32.00,6.40,38.40
BA,ADDRV,110189,#255691,Sales Invoice,20/05/2018,16.00,3.20,19.20
BA,ADDRV,110194,#A2471311,Sales Invoice,25/05/2018,40.00,8.00,48.00
BA,ADDRV,110195,#A2320180,Sales Invoice,22/05/2018,8.00,1.60,9.60
BA,ADDRV,110216,#A2332109,Sales Invoice,06/02/2018,56.00,11.20,67.20
BA,ADDRV,110219,#258301,Sales Invoice,22/06/2018,160.00,32.00,192.00
BA,ADDRV,110220,#A2486800,Sales Invoice,29/06/2018,240.00,48.00,288.00
BA,ADDRV,110221,#258135,Sales Invoice,22/06/2018,160.00,32.00,192.00
BA,ADDRV,110245,#A2189648,Sales Invoice,13/06/2018,16.00,3.20,19.20
BA,ADDRV,110262,#254666,Sales Invoice,20/06/2018,40.00,8.00,48.00
BA,ADDRV,110263,#265388,Sales Invoice,27/06/2018,144.00,28.80,172.80
BA,ADDRV,110273,#A2342777,Sales Invoice,25/06/2018,32.00,6.40,38.40
BA,ADDRV,110276,#252870,Sales Invoice,24/06/2018,24.00,4.80,28.80
BA,ADDRV,110278,#A2583104,Sales Invoice,24/06/2018,16.00,3.20,19.20
BA,ADDRV,110295,#267768,Sales Invoice,07/05/2018,24.00,4.80,28.80
BA,ADDRV,110313,#270567,Sales Invoice,07/11/2018,24.00,4.80,28.80
BA,ADDRV,110335,#A2712722,Sales Invoice,19/07/2018,32.00,6.40,38.40
BA,ADDRV,110337,#266593,Sales Invoice,24/07/2018,64.00,12.80,76.80
BA,ADDRV,110339,#271020,Sales Invoice,19/07/2018,24.00,4.80,28.80
BA,ADDRV,110340,#273530,Sales Invoice,17/07/2018,8.00,1.60,9.60
BA,ADDRV,110345,#234975,Sales Invoice,23/07/2018,56.00,11.20,67.20
BA,ADDRV,110346,#A2573546,Sales Invoice,21/07/2018,32.00,6.40,38.40
BA,ADDRV,110370,#260593,Sales Invoice,08/03/2018,32.00,6.40,38.40
BA,ADDRV,110381,#A3086381,Sales Invoice,08/02/2018,8.00,1.60,9.60
BA,ADDRV,110386,#280411,Sales Invoice,08/08/2018,40.00,8.00,48.00
BA,ADDRV,110389,#A2199844,Sales Invoice,08/11/2018,56.00,11.20,67.20
BA,ADDRV,110390,#A3119191,Sales Invoice,08/07/2018,32.00,6.40,38.40
BA,ADDRV,110425,#279741,Sales Invoice,31/08/2018,104.00,20.80,124.80
BA,ADDRV,110426,#279747,Sales Invoice,31/08/2018,104.00,20.80,124.80
BA,ADDRV,110448,#284820,Sales Invoice,28/08/2018,32.00,6.40,38.40
BA,ADDRV,110450,#A3076566,Sales Invoice,09/01/2018,56.00,11.20,67.20
BA,ADDRV,110458,#A3197676,Sales Invoice,09/04/2018,64.00,12.80,76.80
BA,ADDRV,110478,#288451,Sales Invoice,09/10/2018,56.00,11.20,67.20
BA,ADDRV,110491,#A3169055,Sales Invoice,09/12/2018,48.00,9.60,57.60
BA,ADDRV,110506,#257848,Sales Invoice,16/09/2018,40.00,8.00,48.00
BA,ADDRV,110521,#248255,Sales Invoice,22/09/2018,48.00,9.60,57.60
BA,ADDRV,110522,#248259,Sales Invoice,22/09/2018,48.00,9.60,57.60
BA,ADDRV,110531,#291758,Sales Invoice,19/09/2018,8.00,1.60,9.60
BA,ADDRV,110534,#A3185087,Sales Invoice,23/09/2018,24.00,4.80,28.80
BA,ADDRV,110538,#233199,Sales Invoice,30/09/2018,9.60,1.92,11.52
BA,ADDRV,110557,#294763,Sales Invoice,10/12/2018,88.00,17.60,105.60
BA,ADDRV,110566,#295905,Sales Invoice,13/10/2018,48.00,9.60,57.60
